NAME,BEST WER (dev-other),BEST WER (dev-clean),BEST WER (test-other),BEST WER (test-clean),FULL CONFIG PATH
conf_base_conf__drop_l2__l2-0.05_drop-0.25,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.05_drop-0.25/returnn.config
conf_base_conf__drop_l2__l2-0.05_drop-0.3,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.05_drop-0.3/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.02,"ep: 40, WER: 11.19",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.02/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.03,"ep: 200, WER: 9.17",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.03/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.05,"ep: 200, WER: 9.38",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.1,"ep: 190, WER: 9.61",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.15,"ep: 190, WER: 9.91",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.15/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.2,"ep: 200, WER: 10.09",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.2/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.25,"ep: 190, WER: 10.57",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.25/returnn.config
conf_base_conf__drop_l2__l2-5e-05_drop-0.3,"ep: 190, WER: 10.57",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-5e-05_drop-0.3/returnn.config
conformer/down_up/,-,-,-,-,-
conformer__conf__down_up-1,"ep: 190, WER: 9.32",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-1/returnn.config
conformer__conf__down_up-1_half-rate,"ep: 190, WER: 9.76",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-1_half-rate/returnn.config
conformer__conf__down_up-2,"ep: 200, WER: 8.81",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-2/returnn.config
conformer__conf__down_up-2rerun,"ep: 100, WER: 10.69",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-2rerun/returnn.config
conformer__conf__down_up-2rerun2,"ep: 100, WER: 9.88",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-2rerun2/returnn.config
conformer__conf__down_up-2rerun3,"ep: 20, WER: 12.24",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-2rerun3/returnn.config
conformer__conf__down_up-3,"ep: 180, WER: 9.91",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-3/returnn.config
conformer__conf__down_up-3_rate-fact-1.5,"ep: 180, WER: 10.07",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-3_rate-fact-1.5/returnn.config
conformer__conf__down_up-3_rate-fact-2,"ep: 200, WER: 9.43",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-3_rate-fact-2/returnn.config
conformer__conf__down_up-4,"ep: 200, WER: 10.85",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/down_up/conformer__conf__down_up-4/returnn.config
conformer/conv_kernel_size/,-,-,-,-,-
conformer__conf__conv_kernelsize-13,"ep: 190, WER: 9.26",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_kernel_size/conformer__conf__conv_kernelsize-13/returnn.config
conformer__conf__conv_kernelsize-17,"ep: 200, WER: 9.45",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_kernel_size/conformer__conf__conv_kernelsize-17/returnn.config
conformer__conf__conv_kernelsize-3,"ep: 180, WER: 10.34",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_kernel_size/conformer__conf__conv_kernelsize-3/returnn.config
conformer__conf__conv_kernelsize-32,"ep: 200, WER: 8.86",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_kernel_size/conformer__conf__conv_kernelsize-32/returnn.config
conformer__conf__conv_kernelsize-7,"ep: 190, WER: 9.3",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_kernel_size/conformer__conf__conv_kernelsize-7/returnn.config
conformer/se_block_dynamic/,-,-,-,-,-
conformer__conf__SE_block_after_depthwise_conv,"ep: 180, WER: 10.64",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_depthwise_conv/returnn.config
conformer__conf__SE_block_after_depthwise_convv-se_block_dynamic_sact,"ep: 160, WER: 10.29",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_depthwise_convv-se_block_dynamic_sact/returnn.config
conformer__conf__SE_block_after_depthwise_convv-se_block_dynamic_sact_se-act-relu,"ep: 180, WER: 10.17",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_depthwise_convv-se_block_dynamic_sact_se-act-relu/returnn.config
conformer__conf__SE_block_after_first_conv,"ep: 180, WER: 10.62",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_first_conv/returnn.config
conformer__conf__SE_block_after_first_convv-se_block_dynamic_sact,"ep: 120, WER: 10.07",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_first_convv-se_block_dynamic_sact/returnn.config
conformer__conf__SE_block_after_first_convv-se_block_dynamic_sact_se-act-relu,"ep: 160, WER: 9.78",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_first_convv-se_block_dynamic_sact_se-act-relu/returnn.config
conformer__conf__SE_block_after_sec_convv-se_block_dynamic_sact,"ep: 200, WER: 8.98",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_sec_convv-se_block_dynamic_sact/returnn.config
conformer__conf__SE_block_after_sec_convv-se_block_dynamic_sact_se-act-relu,"ep: 190, WER: 9.03",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block_dynamic/conformer__conf__SE_block_after_sec_convv-se_block_dynamic_sact_se-act-relu/returnn.config
conformer/decoupled_c2/,-,-,-,-,-
conf___conf_v2_decoupled_optim-adam_dec-fact-0.0002,"ep: 40, WER: 11.82",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-0.0002/returnn.config
conf___conf_v2_decoupled_optim-adam_dec-fact-0.0025,"ep: 200, WER: 10.45",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-0.0025/returnn.config
conf___conf_v2_decoupled_optim-adam_dec-fact-0.01,"ep: 190, WER: 11.76",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-0.01/returnn.config
conf___conf_v2_decoupled_optim-adam_dec-fact-2e-05,"ep: 200, WER: 9.25",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-2e-05/returnn.config
conf___conf_v2_decoupled_optim-adam_dec-fact-2e-06,"ep: 10, WER: 13.84",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-2e-06/returnn.config
conf___conf_v2_decoupled_optim-adam_dec-fact-9e-06,"ep: 40, WER: 12.01",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-9e-06/returnn.config
conf___conf_v2_decoupled_optim-adam_dec-fact-9e-07,"ep: 10, WER: 14.46",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-adam_dec-fact-9e-07/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-0.0002,"ep: 200, WER: 9.96",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-0.0002/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-0.0025,"ep: 200, WER: 11.07",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-0.0025/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-0.01,"ep: 200, WER: 11.78",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-0.01/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-2e-05,"ep: 120, WER: 10.21",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-2e-05/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-2e-06,"ep: 10, WER: 13.76",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-2e-06/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-9e-06,"ep: 200, WER: 9.21",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-9e-06/returnn.config
conf___conf_v2_decoupled_optim-nadam_dec-fact-9e-07,"ep: 10, WER: 13.83",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_c2/conf___conf_v2_decoupled_optim-nadam_dec-fact-9e-07/returnn.config
conformer/grad_noise/,-,-,-,-,-
conformer__conf__grad-noise-0.001,"ep: 20, WER: 12.58",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/grad_noise/conformer__conf__grad-noise-0.001/returnn.config
conformer__conf__grad-noise-0.002,"ep: 80, WER: 10.68",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/grad_noise/conformer__conf__grad-noise-0.002/returnn.config
conformer__conf__grad-noise-0.005,"ep: 100, WER: 9.82",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/grad_noise/conformer__conf__grad-noise-0.005/returnn.config
conformer__conf__grad-noise-0.01,"ep: 200, WER: 9.52",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/grad_noise/conformer__conf__grad-noise-0.01/returnn.config
conformer__conf__grad-noise-0.1,"ep: 180, WER: 9.66",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/grad_noise/conformer__conf__grad-noise-0.1/returnn.config
conformer/stoch_depth_v2/,-,-,-,-,-
conformer__conf__stoch_depth-stoch_depth_v2,"ep: 200, WER: 10.82",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_v2/conformer__conf__stoch_depth-stoch_depth_v2/returnn.config
conformer__conf__stoch_depth-stoch_depth_v3,"ep: 10, WER: 100.0",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_v2/conformer__conf__stoch_depth-stoch_depth_v3/returnn.config
conformer/conv_norm_switch/,-,-,-,-,-
conformer__conf__conv_norm-False-True,"ep: 190, WER: 9.56",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_norm_switch/conformer__conf__conv_norm-False-True/returnn.config
conformer__conf__conv_norm-True-False,"ep: 200, WER: 8.28",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_norm_switch/conformer__conf__conv_norm-True-False/returnn.config
conformer/blocks_amnt/,-,-,-,-,-
conformer__conf__conv_amnt-blocks-14,"ep: 160, WER: 9.97",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/blocks_amnt/conformer__conf__conv_amnt-blocks-14/returnn.config
conformer__conf__conv_amnt-blocks-15,"ep: 160, WER: 10.01",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/blocks_amnt/conformer__conf__conv_amnt-blocks-15/returnn.config
conformer__conf__conv_amnt-blocks-16,"ep: 200, WER: 9.33",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/blocks_amnt/conformer__conf__conv_amnt-blocks-16/returnn.config
conformer/ff_dim/,-,-,-,-,-
conformer__conf__ff-dim-1024,"ep: 120, WER: 10.55","ep: 20, WER: 4.16",NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/ff_dim/conformer__conf__ff-dim-1024/returnn.config
conformer__conf__ff-dim-1534,"ep: 200, WER: 9.51","ep: 20, WER: 3.8",NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/ff_dim/conformer__conf__ff-dim-1534/returnn.config
conformer__conf__ff-dim-2048,"ep: 190, WER: 9.23","ep: 20, WER: 3.58",NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/ff_dim/conformer__conf__ff-dim-2048/returnn.config
conformer__conf__ff-dim-512,"ep: 200, WER: 9.7","ep: 10, WER: 3.89",NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/ff_dim/conformer__conf__ff-dim-512/returnn.config
conformer/ff_gating/,-,-,-,-,-
conformer__conf__ff-gating-default,"ep: 200, WER: 9.06",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/ff_gating/conformer__conf__ff-gating-default/returnn.config
conformer__conf__ff-gating-default-swish_ff,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/ff_gating/conformer__conf__ff-gating-default-swish_ff/returnn.config
conformer/lr_shed/,-,-,-,-,-
conf___lr_shed_wups1-const2-s001,"ep: 120, WER: 12.69",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups1-const2-s001/returnn.config
conf___lr_shed_wups10-const18,"ep: 40, WER: 11.39",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups10-const18/returnn.config
conf___lr_shed_wups10-const18-start-0.0009,"ep: 200, WER: 9.4",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups10-const18-start-0.0009/returnn.config
conf___lr_shed_wups2-const10-s0005-s009,"ep: 40, WER: 12.03",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const10-s0005-s009/returnn.config
conf___lr_shed_wups2-const10-ws0006-s001,"ep: 100, WER: 11.86",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const10-ws0006-s001/returnn.config
conf___lr_shed_wups2-const10-ws0006-s001-dk06,"ep: 20, WER: 13.13",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const10-ws0006-s001-dk06/returnn.config
conf___lr_shed_wups2-const10-ws0006-s001-dk08,"ep: 120, WER: 11.19",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const10-ws0006-s001-dk08/returnn.config
conf___lr_shed_wups2-const18,"ep: 200, WER: 9.55",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const18/returnn.config
conf___lr_shed_wups2-const18-dk06,"ep: 200, WER: 9.99",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const18-dk06/returnn.config
conf___lr_shed_wups2-const18-dk07,"ep: 190, WER: 10.05",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const18-dk07/returnn.config
conf___lr_shed_wups2-const18-dk08,"ep: 190, WER: 9.9",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const18-dk08/returnn.config
conf___lr_shed_wups2-const40-ws0006-s001-dk06,"ep: 100, WER: 12.28",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const40-ws0006-s001-dk06/returnn.config
conf___lr_shed_wups2-const50-ws0006-s001,"ep: 40, WER: 11.99",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/lr_shed/conf___lr_shed_wups2-const50-ws0006-s001/returnn.config
conformer/batchnorm_ping/,-,-,-,-,-
conformer_half_conformer_half_batchnorm_momentum05,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batchnorm_ping/conformer_half_conformer_half_batchnorm_momentum05/returnn.config
conformer_half_orig,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batchnorm_ping/conformer_half_orig/returnn.config
