NAME,BEST WER (dev-other),BEST WER (dev-clean),BEST WER (test-other),BEST WER (test-clean),FULL CONFIG PATH
conformer__conf__conv_bn-settings_eps-1e-05_moment-0.99-delay_sample,"ep: 10, WER: 51.93",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batch_norm_settings/conformer__conf__conv_bn-settings_eps-1e-05_moment-0.99-delay_sample/returnn.config
conformer/stoch_depth_traincond/,-,-,-,-,-
conformer__conf__stoch_depth-stoch_depth_traincond,"ep: 180, WER: 9.5",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_crnn_pos-ff_mod1,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_crnn_pos-ff_mod1/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-a-l-lscaled_props-v-1,"ep: 100, WER: 10.23",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-a-l-lscaled_props-v-1/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-att_mod,"ep: 100, WER: 10.32",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-att_mod/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-conv_mod,"ep: 180, WER: 9.99",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-conv_mod/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-ff_mod1,"ep: 200, WER: 9.34",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-ff_mod1/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-ff_mod2,"ep: 190, WER: 9.14",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-ff_mod2/returnn.config
conformer/se_block/,-,-,-,-,-
conformer__conf__SE_block_default,"ep: 190, WER: 8.84",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block/conformer__conf__SE_block_default/returnn.config
conformer__conf__SE_block_default-no-down,"ep: 196, WER: 8.95",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/se_block/conformer__conf__SE_block_default-no-down/returnn.config
conformer/conv_act_switch/,-,-,-,-,-
conformer__conf__conv_act-False-True,"ep: 120, WER: 10.3",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_act_switch/conformer__conf__conv_act-False-True/returnn.config
conformer__conf__conv_act-True-False,"ep: 120, WER: 9.87",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_act_switch/conformer__conf__conv_act-True-False/returnn.config
conformer/decoupled_constraints/,-,-,-,-,-
conformer__conf__decoupled_optim-adam_dec-fact-0.025,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_constraints/conformer__conf__decoupled_optim-adam_dec-fact-0.025/returnn.config
conformer__conf__decoupled_optim-nadam_dec-fact-0.025,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/decoupled_constraints/conformer__conf__decoupled_optim-nadam_dec-fact-0.025/returnn.config
conformer/activations/,-,-,-,-,-
conformer__conf__act-cyclemoid,"ep: 200, WER: 10.83",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-cyclemoid/returnn.config
conformer__conf__act-cyclemoid_SE,"ep: 190, WER: 10.5",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-cyclemoid_SE/returnn.config
conformer__conf__act-gelu,"ep: 200, WER: 10.21",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-gelu/returnn.config
conformer__conf__act-gelu_SE,"ep: 120, WER: 9.85",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-gelu_SE/returnn.config
conformer__conf__act-relu,"ep: 100, WER: 10.56",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-relu/returnn.config
conformer__conf__act-relu_SE,"ep: 190, WER: 9.05",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-relu_SE/returnn.config
conformer__conf__act-swish,"ep: 200, WER: 8.81",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-swish/returnn.config
conformer__conf__act-swish_SE,"ep: 190, WER: 8.95",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__act-swish_SE/returnn.config
