hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2,dev-clean,2.2,1.8,0.3,0.2,0.20935743903902848,0.007583208715726529,0.216940647754755
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2,dev-other,5.4,4.3,0.6,0.5,0.22771534019672623,0.017571421462532325,0.24528676165925856
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2,test-clean,2.6,2.0,0.4,0.2,0.21967064213765786,0.00846568511253792,0.22813632725019578
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2,test-other,5.5,4.3,0.6,0.6,0.24922449806173172,0.019956566399152723,0.26918106446088447
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3,dev-clean,2.2,1.8,0.3,0.2,0.21888065953141025,0.008793599323717163,0.2276742588551274
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3,dev-other,5.4,4.4,0.6,0.5,0.23448191904049592,0.019595083033383608,0.2540770020738795
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3,test-clean,2.6,2.0,0.4,0.2,0.2143833305835251,0.008662124070362908,0.22304545465388803
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3,test-other,5.5,4.3,0.7,0.5,0.21020702304029487,0.01722697383887681,0.22743399687917168
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4,dev-clean,2.3,1.8,0.3,0.2,0.2150980085583459,0.010490069937408161,0.22558807849575405
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4,dev-other,5.5,4.4,0.6,0.4,0.2331467249000195,0.021182482279447353,0.25432920717946683
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4,test-clean,2.6,2.0,0.4,0.2,0.20589081581473676,0.009972155598221294,0.21586297141295804
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4,test-other,5.5,4.4,0.7,0.4,0.24883069570290028,0.024537199779764995,0.27336789548266527
hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.5,dev-clean,2.3,1.8,0.3,0.1,0.21341090993281583,0.011311625790553786,0.22472253572336962
