Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.6_p0.3,dev-other,5.5,5.45,4.5,0.6,0.4,0.22192806356464537,0.01935475847405088,0.24128282203869625
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.6_p0.4,dev-other,5.5,5.50,4.5,0.7,0.4,0.2295905344545189,0.022340861630933267,0.2519313960854522
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.6_p0.5,dev-other,5.6,5.55,4.5,0.7,0.4,0.22810340172671814,0.02434530229933513,0.25244870402605324
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.7_p0.2,dev-other,5.4,5.36,4.4,0.5,0.5,0.23805969565094476,0.01870201248315468,0.25676170813409943
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.7_p0.3,dev-other,5.5,5.42,4.4,0.6,0.4,0.23227403940400237,0.019664432449889344,0.25193847185389173
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.7_p0.4,dev-other,5.5,5.44,4.5,0.6,0.4,0.22092580452064334,0.019947292327231678,0.24087309684787503
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.7_p0.5,dev-other,5.5,5.51,4.5,0.7,0.4,0.23152156218594777,0.024159255947960246,0.255680818133908
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.8_p0.2,dev-other,5.4,5.34,4.3,0.5,0.5,0.23261525550588413,0.017506096754802372,0.2501213522606865
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.8_p0.3,dev-other,5.4,5.38,4.4,0.6,0.4,0.21982327938720694,0.01675451311099573,0.23657779249820268
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.8_p0.4,dev-other,5.4,5.35,4.4,0.6,0.4,0.2220758920605845,0.01895669636614855,0.24103258842673306
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.8_p0.5,dev-other,5.5,5.46,4.5,0.6,0.4,0.2196925633189809,0.020536505634577575,0.2402290689535585
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.8_p0.6,dev-other,5.6,5.55,4.5,0.7,0.4,0.23676447900794198,0.025800918999119675,0.26256539800706163
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.8_p0.7,dev-other,5.7,5.62,4.6,0.8,0.3,0.232669182792972,0.028413715568737632,0.2610828983617096
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.9_p0.2,dev-other,5.4,5.38,4.3,0.5,0.6,0.22686619151903967,0.015364921300681489,0.24223111281972118
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.9_p0.3,dev-other,5.4,5.35,4.4,0.5,0.5,0.23598676406504512,0.018364749731180345,0.25435151379622545
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.9_p0.4,dev-other,5.4,5.35,4.4,0.6,0.4,0.22674791829841415,0.01854591946324387,0.24529383776165803
qat_ctc_bpe_param_sync__recog_tree_4gram_lm0.9_p0.5,dev-other,5.4,5.39,4.4,0.6,0.4,0.22033823077827397,0.01951813370324039,0.23985636448151434
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.0_p0.2,dev-other,5.4,5.41,4.3,0.5,0.6,0.22087433439954604,0.014619529218968532,0.2354938636185146
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.0_p0.3,dev-other,5.4,5.38,4.4,0.5,0.6,0.2346983462923298,0.01736657265156948,0.25206491894389926
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.0_p0.4,dev-other,5.4,5.37,4.4,0.5,0.5,0.2298866804910467,0.018557174907367552,0.24844385539841427
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.0_p0.5,dev-other,5.4,5.39,4.4,0.6,0.4,0.23222434247631082,0.02142291377208553,0.25364725624839635
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.1_p0.2,dev-other,5.5,5.50,4.3,0.4,0.8,0.23216339455377552,0.015671528933453163,0.2478349234872287
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.1_p0.3,dev-other,5.5,5.47,4.4,0.5,0.6,0.218017316123251,0.015836796028720092,0.2338541121519711
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.1_p0.4,dev-other,5.5,5.43,4.4,0.5,0.5,0.22056543222694794,0.0167765524575597,0.23734198468450762
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.1_p0.5,dev-other,5.5,5.43,4.4,0.6,0.5,0.23792124415439211,0.021467834673785973,0.2593890788281781
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.2_p0.2,dev-other,5.7,5.70,4.3,0.4,1.0,0.21870187306510988,0.014370417766045945,0.23307229083115583
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.2_p0.3,dev-other,5.6,5.60,4.4,0.5,0.8,0.22119186017973258,0.014965752117957785,0.23615761229769036
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.2_p0.4,dev-other,5.6,5.59,4.4,0.5,0.7,0.2194804668535656,0.016359733315339617,0.23584020016890522
qat_ctc_bpe_param_sync__recog_tree_4gram_lm1.2_p0.5,dev-other,5.6,5.56,4.5,0.5,0.6,0.22743039460691444,0.01807694613136167,0.2455073407382761
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM,dev-other,5.3,5.30,4.3,0.5,0.5,0.24181942214670624,0.34377209938181114,0.5855915215285173
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.2_st12.0|10.0_mb128|64,dev-other,5.4,5.39,4.4,0.6,0.4,0.22566023436686483,0.42448765976243164,0.6501478941292964
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.2_st18.0|14.0_mb1024|256,dev-other,5.4,5.37,4.4,0.6,0.4,0.23563044629697405,0.9227760487826865,1.1584064950796604
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.3_st12.0|10.0_mb128|64,dev-other,5.5,5.42,4.4,0.6,0.4,0.23817479974481826,0.2928358259272517,0.5310106256720699
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.3_st18.0|14.0_mb1024|256,dev-other,5.4,5.40,4.4,0.6,0.4,0.2573886793643847,1.1008859374644437,1.3582746168288284
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.4_st12.0|10.0_mb128|64,dev-other,5.5,5.45,4.5,0.7,0.4,0.238739125712977,0.3974340998966232,0.6361732256096002
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.4_st18.0|14.0_mb1024|256,dev-other,5.5,5.43,4.4,0.7,0.4,0.25458720448627536,1.144568087022701,1.3991552915089764
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.5_st12.0|10.0_mb128|64,dev-other,5.6,5.51,4.5,0.7,0.4,0.2317549675338856,0.3704890476667566,0.6022440152006422
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.6_p0.5_st18.0|14.0_mb1024|256,dev-other,5.5,5.48,4.5,0.7,0.3,0.2331735392123995,0.9913761807415241,1.2245497199539237
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.2_st12.0|10.0_mb128|64,dev-other,5.3,5.31,4.3,0.5,0.5,0.23335021394876576,0.3048144501839592,0.538164664132725
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.2_st18.0|14.0_mb1024|256,dev-other,5.3,5.28,4.3,0.5,0.5,0.2403265077605838,0.8584417649711539,1.0987682727317376
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.3_st12.0|10.0_mb128|64,dev-other,5.4,5.36,4.4,0.6,0.4,0.23108941526554452,0.2833434392060356,0.5144328544715802
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.3_st18.0|14.0_mb1024|256,dev-other,5.4,5.32,4.4,0.6,0.4,0.23572341090899002,0.8778791011853087,1.1136025120942987
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.4_st12.0|10.0_mb128|64,dev-other,5.4,5.37,4.4,0.6,0.4,0.24301366952683723,0.39575815192594593,0.6387718214527832
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.4_st18.0|14.0_mb1024|256,dev-other,5.4,5.34,4.4,0.6,0.4,0.2367126317690377,0.8990552243184232,1.135767856087461
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.5_st12.0|10.0_mb128|64,dev-other,5.5,5.43,4.4,0.7,0.4,0.2429476458028169,0.4057931084166223,0.6487407542194392
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.7_p0.5_st18.0|14.0_mb1024|256,dev-other,5.4,5.41,4.4,0.7,0.3,0.24337711329741893,1.0464831855389516,1.2898602988363705
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.2_st12.0|10.0_mb128|64,dev-other,5.3,5.30,4.3,0.5,0.5,0.24181942214670624,0.34377209938181114,0.5855915215285173
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.2_st18.0|14.0_mb1024|256,dev-other,5.2,5.21,4.2,0.5,0.5,0.2589009359018834,0.9479248228502996,1.206825758752183
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.3_st12.0|10.0_mb128|64,dev-other,5.3,5.29,4.3,0.6,0.4,0.24342655145167297,0.37536755353583695,0.6187941049875099
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.3_st18.0|14.0_mb1024|256,dev-other,5.3,5.27,4.3,0.6,0.4,0.24814460242422365,0.9505631239459658,1.1987077263701893
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.4_st12.0|10.0_mb128|64,dev-other,5.3,5.31,4.3,0.6,0.4,0.23206512539504365,0.2831919104549942,0.5152570358500379
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.4_st18.0|14.0_mb1024|256,dev-other,5.3,5.29,4.3,0.6,0.4,0.2569210191107973,1.001247556489642,1.2581685756004393
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.5_st12.0|10.0_mb128|64,dev-other,5.4,5.38,4.4,0.6,0.4,0.23352586543390152,0.39149483882908004,0.6250207042629815
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.8_p0.5_st18.0|14.0_mb1024|256,dev-other,5.4,5.35,4.4,0.7,0.4,0.2371205463502101,0.8625708368437617,1.0996913831939719
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.2_st12.0|10.0_mb128|64,dev-other,5.3,5.24,4.2,0.5,0.6,0.24310578566743316,0.3616473631640516,0.6047531488314848
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.2_st18.0|14.0_mb1024|256,dev-other,5.2,5.16,4.2,0.5,0.5,0.2363812725359066,0.7457532965867174,0.982134569122624
