Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.3_elm1.2,dev-other,4.9,4.85,3.7,0.3,0.9,0.20884340635023754,0.8949043490394979,1.1037477553897355
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm0.6,dev-other,5.1,5.06,4.2,0.4,0.5,0.22152706151996293,1.3527900679826232,1.5743171295025862
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm0.7,dev-other,5.0,4.94,4.1,0.4,0.5,0.21103556234094384,1.2233436616537652,1.4343792239947089
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm0.8,dev-other,4.9,4.88,4.0,0.4,0.5,0.19060994470296858,1.0396031410387723,1.2302130857417408
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm0.9,dev-other,4.8,4.78,3.9,0.3,0.5,0.20866374055813489,1.0225316817919692,1.231195422350104
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm1.0,dev-other,4.8,4.75,3.9,0.3,0.5,0.2132187475859662,0.9532195042592705,1.1664382518452368
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm1.1,dev-other,4.8,4.79,3.8,0.3,0.6,0.21260416916829317,0.9301503709778582,1.1427545401461514
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.4_elm1.2,dev-other,4.8,4.81,3.8,0.3,0.7,0.21389436813288357,0.9186013545939009,1.1324957227267844
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm0.6,dev-other,5.3,5.26,4.3,0.4,0.5,0.21256452276024818,1.3719507069759354,1.5845152297361835
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm0.7,dev-other,5.1,5.06,4.2,0.4,0.5,0.22205330342943383,1.2944994102316185,1.5165527136610524
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm0.8,dev-other,5.0,4.96,4.1,0.4,0.5,0.22167270171034345,1.190898407404677,1.4125711091150204
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm0.9,dev-other,4.9,4.89,4.0,0.4,0.5,0.2081627523284158,1.0883318541243578,1.2964946064527736
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm1.0,dev-other,4.8,4.81,3.9,0.3,0.5,0.20992248777929462,1.013053371084393,1.2229758588636876
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm1.1,dev-other,4.8,4.79,3.9,0.3,0.6,0.22054012343082374,0.9915923155998386,1.2121324390306625
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.5_elm1.2,dev-other,4.8,4.83,3.9,0.3,0.6,0.21425518774598792,0.935849929749717,1.1501051174957049
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree,dev-other,6.6,6.51,5.1,0.7,0.7,0.21637246807368005,0.03080616866466472,0.24717863673834478
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram,dev-other,5.2,5.22,4.2,0.5,0.6,0.2170992409302424,0.08581136927815786,0.30291061020840027
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm0.6,dev-other,5.3,5.26,4.2,0.4,0.7,0.197155061947087,0.25722661741686653,0.4543816793639536
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm0.7,dev-other,5.4,5.39,4.1,0.4,0.9,0.1924770400611673,0.26062679085827506,0.45310383091944234
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm0.8,dev-other,5.8,5.78,4.0,0.4,1.4,0.18645970682752863,0.27505346936421093,0.46151317619173954
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm0.9,dev-other,6.4,6.41,3.9,0.3,2.2,0.2098095607207032,0.3356486359550783,0.5454581966757815
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm1.0,dev-other,7.7,7.69,3.7,0.3,3.7,0.19759345079666313,0.3420690155673182,0.5396624663639814
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm1.1,dev-other,10.0,10.00,3.6,0.3,6.2,0.1979499262871783,0.35469934137675974,0.5526492676639381
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.0_elm1.2,dev-other,14.0,13.99,3.6,0.2,10.2,0.2194483125315715,0.406322523916017,0.6257708364475885
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm0.6,dev-other,5.2,5.19,4.2,0.5,0.5,0.22668125970154782,0.3864522849123661,0.6131335446139139
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm0.7,dev-other,5.2,5.15,4.1,0.4,0.6,0.21633587197923101,0.4208239426654497,0.6371598146446807
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm0.8,dev-other,5.3,5.29,4.1,0.4,0.8,0.19630585372056994,0.3695537480836293,0.5658596018041993
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm0.9,dev-other,5.5,5.45,4.0,0.4,1.1,0.22864759184575378,0.4590536355076789,0.6877012273534326
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm1.0,dev-other,6.1,6.13,3.9,0.3,1.9,0.19485772506941165,0.41221943347314016,0.6070771585425518
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm1.1,dev-other,7.2,7.23,3.8,0.3,3.2,0.21559242016737815,0.5173935249641675,0.7329859451315456
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.1_elm1.2,dev-other,9.6,9.58,3.7,0.3,5.6,0.2031151520334463,0.49372974803869946,0.6968449000721457
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm0.6,dev-other,5.2,5.17,4.2,0.5,0.5,0.2184930510838107,0.39856859828039964,0.6170616493642104
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm0.7,dev-other,5.2,5.16,4.2,0.4,0.5,0.19916865480613857,0.4018217321137037,0.6009903869198423
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm0.8,dev-other,5.2,5.15,4.1,0.4,0.6,0.20309381122170664,0.43877118659610226,0.6418649978178089
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm0.9,dev-other,5.3,5.25,4.0,0.4,0.8,0.20295790273405398,0.46901535719190557,0.6719732599259596
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm1.0,dev-other,5.5,5.45,4.0,0.4,1.1,0.1979775646132498,0.4822472316012901,0.6802247962145399
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm1.1,dev-other,6.1,6.10,4.0,0.3,1.8,0.20244944646865323,0.5293729753142007,0.731822421782854
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.2_elm1.2,dev-other,7.2,7.14,3.9,0.3,2.9,0.20455764571446033,0.5733877770998637,0.777945422814324
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.3_elm0.6,dev-other,5.2,5.17,4.2,0.5,0.5,0.19709070246723306,0.42941915125523206,0.6265098537224651
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.3_elm0.7,dev-other,5.2,5.15,4.2,0.5,0.5,0.21093423207359213,0.4983321143591163,0.7092663464327085
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.3_elm0.8,dev-other,5.2,5.15,4.2,0.4,0.6,0.2274867834568879,0.5421744094757689,0.7696611929326568
ffnn_transducer_qat_encoder_bpe_param_sync__recog_tree_4gram_ilm0.3_elm0.9,dev-other,5.2,5.21,4.1,0.4,0.7,0.20374953165773466,0.5323547929381305,0.7361043245958652
