Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.4_elm0.8,dev-other,4.8,4.77,3.9,0.3,0.5,0.2119577030776784,1.2635879214063142,1.4755456244839926
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.4_elm0.9,dev-other,4.7,4.73,3.9,0.3,0.5,0.21637268024003023,1.1960688502139982,1.4124415304540283
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.4_elm1.0,dev-other,4.7,4.72,3.9,0.3,0.6,0.22316599979345036,1.1576783400648036,1.380844339858254
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.4_elm1.1,dev-other,4.8,4.79,3.9,0.3,0.6,0.25000274078026846,1.2604164261228987,1.5104191669031672
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.4_elm1.2,dev-other,4.9,4.90,3.9,0.3,0.7,0.20642445750849284,0.9840150960219987,1.1904395535304915
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm0.6,dev-other,5.2,5.18,4.3,0.4,0.5,0.21601861347206805,1.5623541535875642,1.7783727670596323
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm0.7,dev-other,5.0,5.03,4.2,0.4,0.5,0.20439970560466483,1.3540289282043698,1.5584286338090347
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm0.8,dev-other,4.9,4.93,4.1,0.4,0.5,0.22659927305659242,1.4219960612682228,1.6485953343248152
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm0.9,dev-other,4.9,4.87,4.0,0.3,0.5,0.2291973487701287,1.4356716330537358,1.6648689818238647
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm1.0,dev-other,4.9,4.87,4.0,0.3,0.5,0.21903465579623946,1.1900950273571245,1.409129683153364
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm1.1,dev-other,4.9,4.92,4.0,0.3,0.6,0.21105337151810138,1.0982580268670166,1.309311398385118
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.5_elm1.2,dev-other,5.0,4.96,4.0,0.3,0.7,0.22426842021935786,1.1131418103384947,1.3374102305578524
ffnn_transducer_qat_encoder__recog_tree,dev-other,6.2,6.19,5.0,0.7,0.5,0.2132078514722794,0.02993150555720677,0.2431393570294862
ffnn_transducer_qat_encoder__recog_tree_4gram,dev-other,5.2,5.18,4.2,0.4,0.6,0.19343926891608162,0.07338585464520787,0.2668251235612895
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm0.6,dev-other,5.4,5.38,4.1,0.4,0.9,0.20449097259490837,0.3824511629889918,0.5869421355839002
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm0.7,dev-other,5.7,5.67,4.0,0.4,1.3,0.20833632397874674,0.42499865306374446,0.6333349770424912
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm0.8,dev-other,6.7,6.68,3.8,0.3,2.5,0.205386060303426,0.4524594066983837,0.6578454670018097
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm0.9,dev-other,8.8,8.73,3.7,0.3,4.7,0.20034273495107519,0.45831953689540167,0.6586622718464769
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm1.0,dev-other,12.5,12.49,3.6,0.3,8.6,0.22186463271872048,0.5269276112752902,0.7487922439940107
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm1.1,dev-other,17.9,17.90,3.6,0.2,14.1,0.20391824391787425,0.5205215243660228,0.7244397682838971
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.0_elm1.2,dev-other,26.2,26.19,3.7,0.2,22.4,0.19750264029464787,0.5023599512161522,0.6998625915108001
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm0.6,dev-other,5.2,5.15,4.1,0.4,0.6,0.20334212060833431,0.47934175244693783,0.6826838730552721
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm0.7,dev-other,5.2,5.21,4.0,0.4,0.8,0.19894481164446018,0.48289032613824845,0.6818351377827087
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm0.8,dev-other,5.5,5.47,4.0,0.4,1.1,0.20724509338234695,0.5507498687439139,0.7579949621262608
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm0.9,dev-other,6.2,6.15,3.9,0.3,1.9,0.19845912058434165,0.5572744321024978,0.7557335526868395
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm1.0,dev-other,7.8,7.79,3.9,0.3,3.7,0.1973300287871717,0.5912206249208006,0.7885506537079723
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm1.1,dev-other,10.7,10.72,3.8,0.3,6.7,0.21362592228932673,0.6678119424084945,0.8814378646978213
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.1_elm1.2,dev-other,15.3,15.21,3.7,0.2,11.3,0.20908250538626633,0.6892338969368055,0.8983164023230717
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm0.6,dev-other,5.1,5.12,4.2,0.5,0.5,0.22357614633552958,0.5701982414919327,0.7937743878274622
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm0.7,dev-other,5.1,5.08,4.1,0.4,0.6,0.19925461687786994,0.5444862936148162,0.7437409104926861
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm0.8,dev-other,5.2,5.19,4.1,0.4,0.8,0.23438320629648288,0.6584150505297182,0.8927982568262011
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm0.9,dev-other,5.5,5.44,4.0,0.4,1.1,0.20392024769609413,0.6475660731773697,0.8514863208734639
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm1.0,dev-other,6.0,5.98,4.0,0.3,1.6,0.21233485569772578,0.7123655333031265,0.9247003890008523
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm1.1,dev-other,7.4,7.37,4.0,0.3,3.1,0.2033736463456889,0.7298838471189583,0.9332574934646471
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.2_elm1.2,dev-other,9.8,9.77,3.9,0.3,5.6,0.20254020676200687,0.7172625325704869,0.9198027393324938
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm0.6,dev-other,5.2,5.16,4.2,0.5,0.5,0.20423790870666686,0.6066507898300392,0.810888698536706
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm0.7,dev-other,5.2,5.13,4.2,0.4,0.5,0.2183943959876177,0.6604318852437219,0.8788262812313395
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm0.8,dev-other,5.2,5.14,4.1,0.4,0.6,0.20679705391396014,0.6908379580997368,0.8976350120136969
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm0.9,dev-other,5.2,5.22,4.1,0.4,0.7,0.2040962408102746,0.7549210088262658,0.9590172496365404
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm1.0,dev-other,5.5,5.50,4.2,0.4,1.0,0.20695589850385915,0.8061474762765202,1.0131033747803793
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm1.1,dev-other,6.2,6.22,4.1,0.3,1.8,0.19761684344209893,0.7845756236159986,0.9821924670580975
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.3_elm1.2,dev-other,7.5,7.48,4.1,0.3,3.1,0.20506677483412086,0.866753674584065,1.071820449418186
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm0.6,dev-other,5.3,5.31,4.4,0.5,0.5,0.22191864979945725,0.7910496124056288,1.012968262205086
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm0.7,dev-other,5.3,5.25,4.3,0.4,0.6,0.21737652030402818,0.7778084338139657,0.9951849541179938
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm0.8,dev-other,5.3,5.26,4.3,0.4,0.6,0.20352854276632812,0.8088732379768697,1.0124017807431978
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm0.9,dev-other,5.3,5.30,4.2,0.4,0.7,0.1938786919024364,0.7721394281491016,0.966018120051538
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm1.0,dev-other,5.5,5.48,4.3,0.4,0.8,0.20679106769009728,0.8997121004629527,1.10650316815305
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm1.1,dev-other,5.8,5.76,4.3,0.4,1.1,0.23960490212859295,1.0494240299368003,1.2890289320653934
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.4_elm1.2,dev-other,6.5,6.45,4.3,0.3,1.9,0.20875674688569246,0.9960428539811178,1.2047996008668103
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm0.6,dev-other,5.5,5.48,4.5,0.5,0.5,0.19711857347310985,0.8423603882780254,1.039478961751135
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm0.7,dev-other,5.4,5.36,4.4,0.4,0.6,0.2124484824445687,0.9366127378024083,1.149061220246977
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm0.8,dev-other,5.4,5.37,4.4,0.4,0.6,0.19940017440662394,0.9389232887495381,1.138323463156162
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm0.9,dev-other,5.4,5.42,4.4,0.4,0.6,0.2040044169888388,0.9425019066347244,1.1465063236235633
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm1.0,dev-other,5.5,5.50,4.4,0.4,0.7,0.21060571597947583,1.063937800094582,1.274543516074058
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm1.1,dev-other,5.8,5.76,4.4,0.4,1.0,0.20739516194111857,1.0623586627068724,1.269753824647991
ffnn_transducer_qat_encoder__recog_tree_4gram_ilm0.5_elm1.2,dev-other,6.2,6.14,4.4,0.3,1.4,0.20527224216232887,1.1254725794003302,1.3307448215626592
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM,dev-other,4.9,4.87,3.9,0.4,0.6,0.1981286956041128,0.42921705691209616,0.6273457525162089
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm0.6,dev-other,5.0,5.01,3.9,0.4,0.7,0.20594434256155242,1.609533864463521,1.8154782070250735
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm0.7,dev-other,5.0,4.97,3.8,0.4,0.8,0.23822582840148962,1.6954083091354162,1.933634137536906
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm0.8,dev-other,5.0,5.03,3.7,0.3,1.0,0.2148089471024801,1.4878344026680919,1.702643349770572
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm0.9,dev-other,5.4,5.34,3.7,0.3,1.4,0.20512311481389928,1.3458157463641236,1.5509388611780228
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm1.0,dev-other,5.9,5.87,3.6,0.3,2.0,0.2111121662682092,1.3219413938333666,1.5330535601015758
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm1.1,dev-other,6.3,6.32,3.5,0.3,2.5,0.21350924396154752,1.2821044757401017,1.4956137197016492
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.0_elm1.2,dev-other,7.1,7.07,3.5,0.3,3.3,0.2121306705623023,1.2349075232129803,1.4470381937752825
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm0.6,dev-other,4.8,4.83,3.9,0.4,0.5,0.21957743712101088,1.7385372139242348,1.9581146510452456
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm0.7,dev-other,4.8,4.81,3.9,0.4,0.6,0.21502153230864193,1.6205147102569377,1.8355362425655797
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm0.8,dev-other,4.8,4.82,3.8,0.4,0.7,0.2222060461829948,1.5706921093187163,1.7928981555017112
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm0.9,dev-other,4.9,4.89,3.7,0.3,0.9,0.20330873652329587,1.432245620806879,1.6355543573301747
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm1.0,dev-other,5.2,5.14,3.6,0.3,1.2,0.2193021725241486,1.471141534976154,1.6904437075003027
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm1.1,dev-other,5.5,5.45,3.6,0.3,1.6,0.2202185944684614,1.4334448962466209,1.6536634907150822
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.1_elm1.2,dev-other,6.0,5.97,3.6,0.3,2.1,0.21389422236611436,1.3536143664732692,1.5675085888393834
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm0.6,dev-other,4.9,4.83,4.0,0.4,0.4,0.22400971219215277,1.822220690811344,2.046230403003497
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm0.7,dev-other,4.7,4.73,3.9,0.4,0.5,0.24490483901363808,1.9784773162615044,2.2233821552751425
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm0.8,dev-other,4.7,4.70,3.8,0.4,0.5,0.18802473380963508,1.4019777570475636,1.5900024908571988
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm0.9,dev-other,4.8,4.74,3.7,0.4,0.6,0.21164974914075535,1.4372466982118528,1.648896447352608
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm1.0,dev-other,4.9,4.84,3.7,0.3,0.8,0.21410307427862982,1.439907908113453,1.6540109823920828
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm1.1,dev-other,5.0,4.99,3.7,0.3,1.0,0.21032647802173168,1.3999731215414477,1.6102995995631795
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.2_elm1.2,dev-other,5.3,5.30,3.6,0.3,1.4,0.20464649613240005,1.2679675479739425,1.4726140441063427
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm0.6,dev-other,4.9,4.88,4.0,0.4,0.4,0.21887417069570822,1.8454525931199974,2.0643267638157057
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm0.7,dev-other,4.8,4.79,3.9,0.4,0.5,0.24270736471975388,2.0176452015204887,2.2603525662402424
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm0.8,dev-other,4.7,4.72,3.9,0.4,0.5,0.2003184199308197,1.5120583911655792,1.7123768110963988
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm0.9,dev-other,4.8,4.74,3.8,0.4,0.6,0.20862897456778515,1.5162085124780387,1.7248374870458238
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm1.0,dev-other,4.8,4.80,3.8,0.4,0.6,0.20926479067061135,1.4199322257427485,1.6291970164133598
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm1.1,dev-other,4.9,4.85,3.8,0.3,0.7,0.21312266710782224,1.4303990132417697,1.643521680349592
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.3_elm1.2,dev-other,5.1,5.05,3.8,0.3,0.9,0.21084469112652118,1.3367809597246938,1.547625650851215
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm0.6,dev-other,5.0,4.98,4.1,0.5,0.4,0.21641704554453833,2.0273617934068633,2.2437788389514015
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm0.7,dev-other,4.9,4.89,4.0,0.4,0.5,0.22179679595120017,1.789997189166848,2.0117939851180484
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm0.8,dev-other,4.8,4.83,4.0,0.4,0.5,0.20038680203294496,1.554792389336609,1.7551791913695538
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm0.9,dev-other,4.8,4.78,3.9,0.4,0.5,0.22877349560936142,1.8442132602562826,2.072986755865644
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm1.0,dev-other,4.8,4.79,3.9,0.4,0.6,0.20312881243300837,1.4177226931372144,1.6208515055702228
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm1.1,dev-other,4.9,4.84,3.9,0.3,0.6,0.24652523420029443,1.663994264264014,1.9105194984643084
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.4_elm1.2,dev-other,4.9,4.93,3.9,0.3,0.7,0.21620066891195847,1.4788911638317797,1.695091832743738
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm0.6,dev-other,5.2,5.17,4.2,0.5,0.5,0.23588800946000502,2.3037822730654383,2.5396702825254436
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm0.7,dev-other,5.1,5.06,4.2,0.4,0.5,0.2257572797112927,1.960867124341981,2.186624404053274
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm0.8,dev-other,5.0,4.98,4.1,0.4,0.5,0.21697226263338304,1.7854531644835743,2.0024254271169575
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm0.9,dev-other,5.0,4.93,4.0,0.4,0.5,0.20587039252576703,1.5209480592722768,1.7268184517980438
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm1.0,dev-other,4.9,4.92,4.0,0.4,0.5,0.2276538061357535,1.780671429358683,2.0083252354944365
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm1.1,dev-other,5.0,4.97,4.0,0.4,0.6,0.2100768452860888,1.402008992326356,1.6120858376124447
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM_ilm0.5_elm1.2,dev-other,5.0,5.02,4.0,0.3,0.7,0.21261410270143485,1.4025677083414099,1.6151818110428449
