Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_part10__recog_tree_4gram_lm0.6_p0.5,test-other,5.8,4.6,0.9,0.4,0.21699062909627007,0.02670155252944409,0.24369218162571415
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.2,dev-clean,2.3,1.9,0.3,0.2,0.2082183999176741,0.008445227320319288,0.2166636272379934
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.2,dev-other,5.6,4.5,0.6,0.5,0.22938241532982212,0.019981247114241613,0.24936366244406372
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.2,test-clean,2.6,2.0,0.4,0.2,0.21559327430062228,0.00894450526239402,0.2245377795630163
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.2,test-other,5.7,4.4,0.7,0.6,0.22313473340469034,0.018654552257149327,0.24178928566183966
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.3,dev-clean,2.3,1.9,0.3,0.2,0.1874157729180691,0.008918416198966638,0.19633418911703573
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.3,dev-other,5.5,4.5,0.7,0.4,0.21973796917456162,0.019199462537051553,0.23893743171161316
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.3,test-clean,2.6,2.0,0.4,0.2,0.21064815568117676,0.010491019775743944,0.22113917545692072
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.3,test-other,5.6,4.4,0.7,0.5,0.22494302541206027,0.020765330670106562,0.24570835608216682
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.4,dev-clean,2.4,1.9,0.3,0.2,0.20905839298993206,0.011010644834428904,0.22006903782436096
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.4,dev-other,5.6,4.5,0.7,0.4,0.2512706780616497,0.026993095716700225,0.27826377377834993
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.4,test-clean,2.7,2.1,0.5,0.1,0.21617463185151067,0.012257263578946152,0.22843189543045683
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.4,test-other,5.7,4.4,0.8,0.5,0.22762163253027295,0.024769421665380775,0.2523910541956537
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.5,dev-clean,2.4,1.9,0.4,0.1,0.20879218836579805,0.01275953174880468,0.22155172011460272
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.5,dev-other,5.6,4.5,0.7,0.3,0.19959313141105778,0.022358404940820913,0.2219515363518787
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.5,test-clean,2.7,2.1,0.5,0.1,0.24283469205191244,0.014753087791601801,0.2575877798435142
qat_ctc_bpe_part10__recog_tree_4gram_lm0.7_p0.5,test-other,5.7,4.5,0.8,0.4,0.23761928951548547,0.028852660867218452,0.26647195038270394
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.2,dev-clean,2.4,1.9,0.3,0.2,0.22623363350535422,0.009027990154710282,0.2352616236600645
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.2,dev-other,5.6,4.4,0.6,0.5,0.2290174425195962,0.01889527045944811,0.2479127129790443
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.2,test-clean,2.6,2.0,0.4,0.2,0.21949665713171154,0.008860872186694966,0.22835752931840653
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.2,test-other,5.7,4.4,0.7,0.6,0.19788695116967092,0.01586552204468814,0.21375247321435906
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.3,dev-clean,2.3,1.9,0.3,0.2,0.22069318043211006,0.010161892481761596,0.23085507291387167
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.3,dev-other,5.5,4.4,0.6,0.5,0.2339235250786047,0.02013972395595327,0.25406324903455796
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.3,test-clean,2.6,2.0,0.4,0.2,0.20589907849323041,0.009528792350372683,0.2154278708436031
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.3,test-other,5.6,4.4,0.7,0.5,0.2347524503516792,0.02204038520075699,0.2567928355524362
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.4,dev-clean,2.4,1.9,0.3,0.2,0.20823335714633207,0.0109607415943459,0.21919409874067797
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.4,dev-other,5.5,4.4,0.7,0.4,0.231088596217758,0.02329889070002644,0.25438748691778446
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.4,test-clean,2.7,2.1,0.4,0.2,0.23797473272723593,0.012639803008852955,0.2506145357360889
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.4,test-other,5.6,4.4,0.7,0.5,0.22870515425566643,0.024515612645954886,0.2532207669016213
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.5,dev-clean,2.4,1.9,0.4,0.2,0.2096778272666897,0.012854683775973336,0.22253251104266306
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.5,dev-other,5.6,4.5,0.7,0.4,0.21910408973264586,0.023149399317583527,0.2422534890502294
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.5,test-clean,2.7,2.1,0.5,0.1,0.21660840873753104,0.014346744797026878,0.23095515353455792
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.5,test-other,5.7,4.5,0.8,0.4,0.24768582777271775,0.030300040799435893,0.2779858685721536
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.6,dev-clean,2.4,1.9,0.4,0.1,0.24027032284403949,0.015971731196533827,0.2562420540405733
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.6,dev-other,5.6,4.5,0.7,0.3,0.23151069826658502,0.026985326234462037,0.2584960245010471
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.6,test-clean,2.7,2.1,0.5,0.1,0.2163094585340114,0.015392478117387854,0.23170193665139927
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.6,test-other,5.7,4.5,0.8,0.4,0.2255497116359382,0.028872779296960565,0.25442249093289876
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.7,dev-clean,2.5,1.9,0.4,0.1,0.2218585145444434,0.01721146929237576,0.23906998383681918
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.7,dev-other,5.7,4.6,0.8,0.3,0.23232975581354143,0.030905811187900985,0.2632355670014424
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.7,test-clean,2.7,2.1,0.5,0.1,0.21719786863707044,0.017754405522807767,0.23495227415987818
qat_ctc_bpe_part10__recog_tree_4gram_lm0.8_p0.7,test-other,5.8,4.5,0.9,0.4,0.22825336319198264,0.032346790502754755,0.2606001536947374
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.2,dev-clean,2.4,1.9,0.3,0.2,0.2201197795838753,0.008682976624079172,0.22880275620795448
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.2,dev-other,5.6,4.4,0.6,0.6,0.23119336179212757,0.018207832624936346,0.2494011944170639
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.2,test-clean,2.6,2.0,0.4,0.2,0.2065439194335805,0.008225745166869846,0.21476966460045033
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.2,test-other,5.8,4.4,0.6,0.7,0.22522042654188132,0.017393124842454304,0.24261355138433563
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.3,dev-clean,2.4,1.9,0.3,0.2,0.2471827680512306,0.010572176874181133,0.25775494492541173
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.3,dev-other,5.5,4.4,0.6,0.5,0.23219810834716187,0.019566992206245245,0.2517651005534071
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.3,test-clean,2.6,2.0,0.4,0.2,0.21717710208157173,0.010092770302103286,0.22726987238367502
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.3,test-other,5.7,4.4,0.7,0.6,0.21734319536353983,0.018028191708396823,0.23537138707193667
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.4,dev-clean,2.4,1.9,0.3,0.2,0.2214713891201771,0.011404508530500587,0.2328758976506777
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.4,dev-other,5.5,4.4,0.6,0.4,0.23226003407772433,0.022891814533083938,0.25515184861080825
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.4,test-clean,2.6,2.1,0.4,0.2,0.2138852008315692,0.011113455183224572,0.2249986560147938
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.4,test-other,5.6,4.4,0.7,0.5,0.22545867573448267,0.022248488117488207,0.24770716385197086
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.5,dev-clean,2.4,1.9,0.3,0.2,0.20924826371401586,0.012154084067096225,0.2214023477811121
