Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe__recog_tree_4gram,dev-other,5.7,4.5,0.6,0.5,0.22883308909424727,0.001736926780819218,0.23057001587506648
qat_ctc_bpe__recog_tree_4gram,test-clean,2.6,2.1,0.4,0.2,0.21064485110003778,0.0011744779738058703,0.21181932907384365
qat_ctc_bpe__recog_tree_4gram,test-other,5.8,4.5,0.6,0.6,0.22784556943059567,0.0017253613111188326,0.2295709307417145
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,dev-clean,2.2,1.8,0.3,0.2,0.21507751651820128,0.2700368483139368,0.4851143648321381
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,dev-other,5.4,4.3,0.5,0.6,0.23155159568178993,0.27120056531860603,0.502752161000396
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,test-clean,2.5,2.0,0.3,0.2,0.2128095490260897,0.25024321231428764,0.4630527613403773
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,test-other,5.6,4.4,0.6,0.6,0.23201184161083677,0.2682772799421169,0.5002891215529537
qat_ctc_bpe__recog_tree_bpe-LSTM,dev-clean,2.2,1.8,0.3,0.2,0.22536421650644164,0.2418393225356078,0.4672035390420494
qat_ctc_bpe__recog_tree_bpe-LSTM,dev-other,5.4,4.3,0.5,0.5,0.22797033116000043,0.2931272794650537,0.5210976106250541
qat_ctc_bpe__recog_tree_bpe-LSTM,test-clean,2.6,2.0,0.4,0.2,0.21769140491528602,0.2336056508585272,0.4512970557738132
qat_ctc_bpe__recog_tree_bpe-LSTM,test-other,5.6,4.4,0.6,0.5,0.21372749406908134,0.2528461157877755,0.46657360985685686
