Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe__recog_tree_4gram,dev-other,5.7,4.5,0.6,0.5,0.22545023723777702,0.0016688620689202663,0.2271190993066973
qat_ctc_bpe__recog_tree_4gram,test-clean,2.6,2.1,0.4,0.2,0.21261724728319237,0.0011401114595560888,0.21375735874274845
qat_ctc_bpe__recog_tree_4gram,test-other,5.8,4.5,0.6,0.6,0.22473978730146277,0.0017368318694942777,0.22647661917095704
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,dev-clean,2.2,1.8,0.3,0.2,0.22635277516883193,0.23722097068965453,0.4635737458584865
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,dev-other,5.4,4.3,0.5,0.6,0.2388180632502496,0.26560816968291157,0.5044262329331611
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,test-clean,2.5,2.0,0.3,0.2,0.21614858629077854,0.2919088886233372,0.5080574749141157
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,test-other,5.6,4.4,0.6,0.6,0.22852481150360202,0.27444369250641226,0.5029685040100143
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,dev-clean,2.3,1.8,0.3,0.2,0.2274414016282496,0.010421348364314421,0.23786274999256404
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,dev-other,5.6,4.5,0.6,0.5,0.23896250742698816,0.02250231726329719,0.26146482469028537
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,test-clean,2.6,2.1,0.4,0.2,0.2195364551628032,0.010580958619081536,0.23011741378188472
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,test-other,5.6,4.5,0.7,0.5,0.2364024826317502,0.023150835178204578,0.2595533178099548
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,dev-clean,2.4,1.9,0.4,0.2,0.2086353875948092,0.010679814125612327,0.21931520172042154
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,dev-other,5.6,4.6,0.6,0.4,0.24215451908007776,0.022547139822964413,0.26470165890304215
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,test-clean,2.7,2.1,0.4,0.1,0.2172968288765059,0.011820318852727937,0.22911714772923383
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,test-other,5.7,4.5,0.7,0.4,0.23587217930515963,0.023853763205964478,0.25972594251112413
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,dev-clean,2.4,1.8,0.4,0.1,0.2212349290737945,0.013473243932182228,0.23470817300597674
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,dev-other,5.7,4.6,0.7,0.4,0.2191367770003466,0.023742249466944736,0.24287902646729131
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,test-clean,2.7,2.1,0.4,0.1,0.20654047399505268,0.012599947303639124,0.21914042129869182
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,test-other,5.7,4.5,0.8,0.4,0.22191260381827274,0.022548386845072075,0.2444609906633448
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.5,dev-clean,2.4,1.9,0.4,0.1,0.20827950334236098,0.014134113355411872,0.22241361669777285
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.5,dev-other,5.7,4.6,0.7,0.4,0.23101632313187243,0.029859862780974137,0.26087618591284656
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.5,test-clean,2.7,2.1,0.5,0.1,0.2058834100835487,0.014433088134770018,0.22031649821831875
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.5,test-other,5.8,4.6,0.8,0.4,0.215911665514467,0.027552667760089335,0.24346433327455633
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.2,dev-clean,2.3,1.8,0.3,0.2,0.23462298044004867,0.009794832267493846,0.24441781270754254
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.2,dev-other,5.6,4.5,0.6,0.5,0.25252620904785333,0.01971112975461778,0.27223733880247114
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.2,test-clean,2.6,2.0,0.4,0.2,0.24006557377745788,0.01011390175306085,0.2501794755305187
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.2,test-other,5.6,4.5,0.6,0.5,0.2494528734938262,0.020404062591644432,0.2698569360854706
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.3,dev-clean,2.3,1.8,0.3,0.2,0.2238676764111858,0.011332465985507476,0.2352001423966933
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.3,dev-other,5.6,4.5,0.6,0.5,0.23575745499706932,0.02261663692533453,0.25837409192240385
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.3,test-clean,2.6,2.1,0.4,0.2,0.23436745892003255,0.010991802448461286,0.24535926136849381
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.3,test-other,5.7,4.5,0.7,0.5,0.2318038450055353,0.023463919932966548,0.25526776493850184
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.4,dev-clean,2.3,1.8,0.4,0.1,0.24700900366209955,0.014323614381286744,0.2613326180433863
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.4,dev-other,5.7,4.6,0.7,0.4,0.25803031827853024,0.02790446566721931,0.28593478394574956
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.4,test-clean,2.7,2.1,0.4,0.1,0.2213239676182875,0.012765759850237793,0.23408972746852527
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.4,test-other,5.6,4.5,0.8,0.4,0.24062792868091964,0.02655409516566934,0.267182023846589
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.5,dev-clean,2.4,1.9,0.4,0.1,0.23241934699274988,0.014816893428849096,0.24723624042159897
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.5,dev-other,5.7,4.6,0.7,0.4,0.23689336821477883,0.026821603021492047,0.26371497123627086
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.5,test-clean,2.7,2.1,0.4,0.1,0.23004802560738474,0.014761802280339091,0.24480982788772382
qat_ctc_bpe__recog_tree_4gram_lm0.7_p0.5,test-other,5.7,4.5,0.8,0.4,0.23006512165456247,0.029395401080061345,0.25946052273462383
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.2,dev-clean,2.3,1.8,0.3,0.2,0.2240575267918837,0.009359417757474528,0.2334169445493582
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.2,dev-other,5.6,4.5,0.5,0.6,0.25405982586951725,0.018959971878968404,0.27301979774848567
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.2,test-clean,2.6,2.0,0.4,0.2,0.23073472790210342,0.009512989010546324,0.24024771691264976
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.2,test-other,5.7,4.5,0.6,0.6,0.2505694597985764,0.020982097628637494,0.27155155742721393
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.3,dev-clean,2.3,1.8,0.3,0.2,0.22393387830938846,0.010806592214661667,0.23474047052405012
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.3,dev-other,5.6,4.5,0.6,0.5,0.2187440260848164,0.018780902208942338,0.23752492829375876
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.3,test-clean,2.6,2.1,0.4,0.2,0.20742110644152212,0.010222464899111864,0.21764357134063397
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.3,test-other,5.7,4.5,0.7,0.5,0.25120731642720373,0.02441705891007746,0.27562437533728124
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.4,dev-clean,2.3,1.8,0.3,0.2,0.23930221884466343,0.01245897009076019,0.25176118893542365
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.4,dev-other,5.6,4.5,0.6,0.5,0.24922264667423866,0.025404997082297244,0.2746276437565359
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.4,test-clean,2.6,2.1,0.4,0.2,0.2074387434075171,0.011953349201547806,0.21939209260906492
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.4,test-other,5.7,4.5,0.7,0.5,0.2567839737005941,0.02791920144629437,0.2847031751468884
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.5,dev-clean,2.4,1.8,0.4,0.2,0.2235309202086593,0.014628183737254837,0.23815910394591414
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.5,dev-other,5.7,4.5,0.7,0.4,0.2345773003412041,0.0266423998025486,0.26121970014375273
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.5,test-clean,2.7,2.1,0.4,0.2,0.18865385288504202,0.011945463220528304,0.20059931610557033
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.5,test-other,5.7,4.5,0.8,0.4,0.25143544038590304,0.030310243621369488,0.2817456840072725
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.6,dev-clean,2.4,1.9,0.4,0.2,0.2225297866325852,0.015743247494648886,0.2382730341272341
