Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.4_elm0.7,dev-other,5.1,5.03,4.1,0.4,0.6,0.23976399396947806,2.139988513671049,2.379752507640527
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.4_elm0.8,dev-other,5.0,5.01,4.0,0.4,0.7,0.22369518387553056,1.8686114423707667,2.0923066262462973
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.4_elm0.9,dev-other,5.2,5.14,3.8,0.4,1.0,0.22237638469942092,1.6921144692068022,1.914490853906223
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.4_elm1.0,dev-other,5.6,5.56,3.7,0.3,1.5,0.22389021937306966,1.678370776636981,1.9022609960100507
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.4_elm1.1,dev-other,6.4,6.37,3.6,0.3,2.5,0.22642632728810372,1.5666954959084605,1.7931218231965642
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.4_elm1.2,dev-other,7.1,7.10,3.6,0.3,3.2,0.2205754175044315,1.4234159770064205,1.6439913945108522
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm0.6,dev-other,5.5,5.50,4.5,0.4,0.7,0.243696666463272,2.513799163154132,2.757495829617404
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm0.7,dev-other,5.3,5.29,4.3,0.4,0.6,0.23484384723369137,2.1553750590150402,2.3902189062487316
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm0.8,dev-other,5.1,5.13,4.1,0.4,0.7,0.24152169169552096,2.0762314916795552,2.317753183375076
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm0.9,dev-other,5.1,5.04,4.0,0.4,0.7,0.22538510460596142,1.6883193366750273,1.9137044412809887
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm1.0,dev-other,5.1,5.10,3.9,0.4,0.9,0.2360141744767696,1.791653366078334,2.0276675405551035
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm1.1,dev-other,5.6,5.56,3.8,0.3,1.5,0.21870973990563664,1.539350575320354,1.7580603152259906
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.5_elm1.2,dev-other,6.2,6.21,3.7,0.3,2.2,0.23459347709672307,1.6026220766386856,1.8372155537354087
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_recog_lexfree,dev-other,6.3,6.30,5.2,0.5,0.6,0.21785997933857967,0.05926575637323481,0.2771257357118145
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_recog_lexfree_bpe-LSTM,dev-other,5.5,5.45,3.8,0.4,1.3,0.2332249666189548,0.9017815287847504,1.1350064954037051
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_recog_tree,dev-other,6.3,6.23,5.0,0.7,0.6,0.20743871856287363,0.07510687820726325,0.28254559677013685
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_recog_tree_4gram,dev-other,6.1,6.08,4.1,0.4,1.6,0.20500973574803294,0.2092266913213977,0.41423642706943065
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_recog_tree_bpe-LSTM,dev-other,5.3,5.24,3.9,0.4,1.0,0.20281505309776354,0.6257644853719626,0.8285795384697261
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm0.6,dev-other,25.9,25.84,3.6,0.2,22.1,0.20953602056990608,0.9515489768426157,1.161084997412522
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm0.7,dev-other,37.3,37.24,3.7,0.2,33.5,0.2129044811529381,1.001487744843482,1.2143922259964202
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm0.8,dev-other,49.1,49.03,3.8,0.1,45.2,0.2218654118420535,1.1271008110372096,1.348966222879263
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm0.9,dev-other,59.7,59.67,4.0,0.1,55.6,0.2136164442227818,1.0094396236672716,1.2230560678900533
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm1.0,dev-other,68.6,68.54,4.3,0.1,64.2,0.2063748479108958,0.8991756097532675,1.1055504576641633
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm1.1,dev-other,75.8,75.76,4.5,0.0,71.2,0.2176635910166636,1.0271538566045917,1.2448174476212552
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.0_elm1.2,dev-other,81.4,81.43,4.7,0.0,76.7,0.20971540175034692,0.9750066523170883,1.1847220540674352
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm0.6,dev-other,15.1,15.10,3.7,0.3,11.2,0.22112594611298103,1.4364158767431503,1.6575418228561314
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm0.7,dev-other,24.6,24.53,3.6,0.2,20.8,0.21121330117116913,1.3389630083464874,1.5501763095176564
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm0.8,dev-other,35.9,35.85,3.7,0.2,32.1,0.2181443307914847,1.4385998320332107,1.6567441628246955
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm0.9,dev-other,47.7,47.68,3.8,0.1,43.8,0.2272918096742967,1.5619039639631491,1.789195773637446
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm1.0,dev-other,58.7,58.61,4.0,0.1,54.6,0.21398622689023677,1.3099582120729159,1.5239444389631527
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm1.1,dev-other,67.9,67.87,4.2,0.1,63.6,0.2111554013152871,1.2659822043054685,1.4771376056207555
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.1_elm1.2,dev-other,75.5,75.50,4.5,0.0,71.0,0.2163536758962796,1.3127418668398243,1.529095542736104
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm0.6,dev-other,8.1,8.07,3.9,0.4,3.8,0.22766168634478096,1.6884757196082834,1.9161374059530645
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm0.7,dev-other,14.5,14.45,3.7,0.3,10.5,0.21185019890047335,1.4556252380681234,1.6674754369685967
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm0.8,dev-other,23.9,23.89,3.6,0.2,20.1,0.21056542400378433,1.512970568842082,1.7235359928458664
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm0.9,dev-other,34.7,34.68,3.6,0.2,30.9,0.21064605317205992,1.4949050227634377,1.7055510759354975
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm1.0,dev-other,46.7,46.61,3.7,0.1,42.8,0.2154936770168962,1.504439454159694,1.7199331311765902
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm1.1,dev-other,58.1,58.03,3.9,0.1,54.0,0.20448515215985216,1.3107250153707408,1.515210167530593
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.2_elm1.2,dev-other,68.1,68.06,4.2,0.1,63.8,0.2077858421841972,1.3308042210119209,1.538590063196118
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm0.6,dev-other,5.8,5.81,4.2,0.4,1.2,0.1984669368379445,1.4757519923528801,1.6742189291908245
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm0.7,dev-other,7.5,7.47,3.9,0.4,3.2,0.22578343530090422,1.9756089741506264,2.2013924094515307
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm0.8,dev-other,13.3,13.25,3.7,0.3,9.3,0.21131962785018651,1.7587911002387593,1.9701107280889458
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm0.9,dev-other,23.2,23.12,3.6,0.2,19.3,0.21750499901221895,1.8492149198780516,2.0667199188902705
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm1.0,dev-other,34.1,34.03,3.6,0.2,30.3,0.2162157943989732,1.7655275282445508,1.981743322643524
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm1.1,dev-other,46.4,46.33,3.7,0.1,42.6,0.22128324662003537,1.7315430519328074,1.9528262985528428
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.3_elm1.2,dev-other,58.1,58.09,4.0,0.1,54.1,0.19630329368340077,1.391952350950739,1.5882556446341396
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm0.6,dev-other,5.3,5.30,4.3,0.5,0.6,0.21113481635566692,1.8159351159375925,2.0270699322932595
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm0.7,dev-other,5.7,5.68,4.2,0.4,1.1,0.19125645570333982,1.7362983301870205,1.9275547858903603
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm0.8,dev-other,7.2,7.19,3.9,0.4,2.9,0.2138533548400966,2.100787010118007,2.314640364958103
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm0.9,dev-other,12.1,12.05,3.8,0.3,8.0,0.23243099945882806,2.3151223753806263,2.5475533748394543
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm1.0,dev-other,22.2,22.19,3.7,0.2,18.3,0.21993964255460294,2.117319935834255,2.337259578388858
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm1.1,dev-other,34.3,34.26,3.7,0.2,30.5,0.2240680202932722,2.0471418243105983,2.2712098446038707
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.4_elm1.2,dev-other,46.4,46.32,3.8,0.1,42.5,0.22589849215725324,2.010293177487398,2.236191669644651
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm0.6,dev-other,5.4,5.42,4.4,0.5,0.5,0.22626809979272294,2.3903993647945416,2.6166674645872647
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm0.7,dev-other,5.4,5.37,4.4,0.4,0.6,0.2306516723812753,2.7255267545914723,2.956178426972748
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm0.8,dev-other,5.6,5.59,4.2,0.4,1.0,0.23638614064552874,2.8819923595029002,3.1183785001484288
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm0.9,dev-other,7.1,7.11,4.0,0.3,2.8,0.2279529396005793,2.8476460504493795,3.0755989900499587
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm1.0,dev-other,11.9,11.86,3.8,0.3,7.8,0.22624197521092043,2.8570184143834094,3.08326038959433
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm1.1,dev-other,22.6,22.57,3.7,0.2,18.7,0.21352758337838146,2.365521810082566,2.5790493934609477
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_4gram_ilm0.5_elm1.2,dev-other,34.6,34.57,3.7,0.2,30.7,0.2150678124383039,2.222791171255727,2.4378589836940305
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm0.6,dev-other,7.6,7.53,3.8,0.3,3.4,0.22354683625177404,2.109487133857415,2.333033970109189
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm0.7,dev-other,9.4,9.39,3.6,0.3,5.5,0.23529351171042245,2.13173481101289,2.3670283227233124
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm0.8,dev-other,11.6,11.60,3.5,0.3,7.9,0.22505119602076268,1.913378075734095,2.1384292717548576
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm0.9,dev-other,15.3,15.24,3.5,0.2,11.5,0.22902468840862256,1.9052816358262707,2.134306324234893
