                                                   Experiments |   2 corpus | 3 WER | 4 Del | 5 Ins | 6 Sub | 7 Enc RTF | 8 Search RTF | 9 Total RTF | 10 Step Hyps | 11 Step Word End Hyps | 12 Step Trees
 29__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.7_p0.5 |  dev-clean |   2.3 |   0.1 |   0.3 |   1.8 |   0.20064 |      0.01105 |     0.21169 |      Not set |               Not set |       Not set
 30__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.7_p0.5 |  dev-other |   5.6 |   0.4 |   0.7 |   4.5 |   0.23111 |      0.02536 |     0.25647 |      Not set |               Not set |       Not set
 31__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.7_p0.5 | test-clean |   2.6 |   0.1 |   0.4 |   2.1 |   0.23851 |      0.01366 |     0.25217 |      Not set |               Not set |       Not set
 32__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.7_p0.5 | test-other |   5.6 |   0.4 |   0.8 |   4.4 |   0.21786 |      0.02311 |     0.24097 |      Not set |               Not set |       Not set
 33__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2 |  dev-clean |   2.2 |   0.2 |   0.3 |   1.8 |   0.20936 |      0.00758 |     0.21694 |      Not set |               Not set |       Not set
 34__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2 |  dev-other |   5.4 |   0.5 |   0.6 |   4.3 |   0.22772 |      0.01757 |     0.24529 |      Not set |               Not set |       Not set
 35__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2 | test-clean |   2.6 |   0.2 |   0.4 |   2.0 |   0.21967 |      0.00847 |     0.22814 |      Not set |               Not set |       Not set
 36__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.2 | test-other |   5.5 |   0.6 |   0.6 |   4.3 |   0.24922 |      0.01996 |     0.26918 |      Not set |               Not set |       Not set
 37__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3 |  dev-clean |   2.2 |   0.2 |   0.3 |   1.8 |   0.21888 |      0.00879 |     0.22767 |      Not set |               Not set |       Not set
 38__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3 |  dev-other |   5.4 |   0.5 |   0.6 |   4.4 |   0.23448 |       0.0196 |     0.25408 |      Not set |               Not set |       Not set
 39__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3 | test-clean |   2.6 |   0.2 |   0.4 |   2.0 |   0.21438 |      0.00866 |     0.22305 |      Not set |               Not set |       Not set
 40__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.3 | test-other |   5.5 |   0.5 |   0.7 |   4.3 |   0.21021 |      0.01723 |     0.22743 |      Not set |               Not set |       Not set
 41__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.8 |    0.2151 |      0.01049 |     0.22559 |      Not set |               Not set |       Not set
 42__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4 |  dev-other |   5.5 |   0.4 |   0.6 |   4.4 |   0.23315 |      0.02118 |     0.25433 |      Not set |               Not set |       Not set
 43__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4 | test-clean |   2.6 |   0.2 |   0.4 |   2.0 |   0.20589 |      0.00997 |     0.21586 |      Not set |               Not set |       Not set
 44__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.4 | test-other |   5.5 |   0.4 |   0.7 |   4.4 |   0.24883 |      0.02454 |     0.27337 |      Not set |               Not set |       Not set
 45__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.5 |  dev-clean |   2.3 |   0.1 |   0.3 |   1.8 |   0.21341 |      0.01131 |     0.22472 |      Not set |               Not set |       Not set
 46__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.5 |  dev-other |   5.5 |   0.4 |   0.7 |   4.4 |   0.23149 |       0.0231 |     0.25459 |      Not set |               Not set |       Not set
 47__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.5 | test-clean |   2.6 |   0.1 |   0.4 |   2.1 |   0.21477 |      0.01169 |     0.22646 |      Not set |               Not set |       Not set
 48__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.8_p0.5 | test-other |   5.6 |   0.4 |   0.8 |   4.4 |   0.22687 |      0.02351 |     0.25037 |      Not set |               Not set |       Not set
 49__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.2 |  dev-clean |   2.3 |   0.2 |   0.2 |   1.8 |   0.24081 |      0.00853 |     0.24934 |      Not set |               Not set |       Not set
 50__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.2 |  dev-other |   5.4 |   0.6 |   0.5 |   4.3 |   0.22871 |      0.01574 |     0.24445 |      Not set |               Not set |       Not set
 51__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.2 | test-clean |   2.6 |   0.2 |   0.3 |   2.1 |   0.20511 |      0.00737 |     0.21248 |      Not set |               Not set |       Not set
 52__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.2 | test-other |   5.6 |   0.7 |   0.6 |   4.3 |   0.23105 |      0.01746 |     0.24851 |      Not set |               Not set |       Not set
 53__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.3 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.8 |   0.20816 |      0.00841 |     0.21657 |      Not set |               Not set |       Not set
 54__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.3 |  dev-other |   5.4 |   0.5 |   0.6 |   4.3 |   0.22828 |      0.01905 |     0.24733 |      Not set |               Not set |       Not set
 55__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.3 | test-clean |   2.6 |   0.2 |   0.3 |   2.1 |   0.22726 |      0.00924 |      0.2365 |      Not set |               Not set |       Not set
 56__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.3 | test-other |   5.5 |   0.6 |   0.6 |   4.3 |   0.23229 |      0.01893 |     0.25122 |      Not set |               Not set |       Not set
 57__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.4 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.8 |   0.22293 |      0.00981 |     0.23274 |      Not set |               Not set |       Not set
 58__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.4 |  dev-other |   5.4 |   0.4 |   0.6 |   4.4 |   0.23419 |      0.02053 |     0.25472 |      Not set |               Not set |       Not set
 59__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.4 | test-clean |   2.6 |   0.2 |   0.4 |   2.1 |   0.23878 |      0.01116 |     0.24994 |      Not set |               Not set |       Not set
 60__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.4 | test-other |   5.5 |   0.5 |   0.7 |   4.4 |    0.2171 |      0.01833 |     0.23542 |      Not set |               Not set |       Not set
 61__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.5 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.8 |    0.2336 |      0.01198 |     0.24558 |      Not set |               Not set |       Not set
 62__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.5 |  dev-other |   5.5 |   0.4 |   0.7 |   4.4 |   0.24605 |      0.02383 |     0.26988 |      Not set |               Not set |       Not set
 63__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.5 | test-clean |   2.7 |   0.2 |   0.4 |   2.1 |   0.21064 |      0.01122 |     0.22186 |      Not set |               Not set |       Not set
 64__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.9_p0.5 | test-other |   5.6 |   0.4 |   0.7 |   4.5 |   0.24927 |      0.02569 |     0.27497 |      Not set |               Not set |       Not set
 65__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.2 |  dev-clean |   2.3 |   0.3 |   0.2 |   1.8 |   0.22301 |      0.00739 |      0.2304 |      Not set |               Not set |       Not set
 66__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.2 |  dev-other |   5.5 |   0.7 |   0.5 |   4.3 |    0.2348 |      0.01588 |     0.25068 |      Not set |               Not set |       Not set
 67__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.2 | test-clean |   2.7 |   0.3 |   0.3 |   2.1 |   0.22025 |      0.00757 |     0.22782 |      Not set |               Not set |       Not set
 68__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.2 | test-other |   5.7 |   0.8 |   0.6 |   4.3 |   0.22732 |      0.01553 |     0.24284 |      Not set |               Not set |       Not set
 69__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.3 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.8 |   0.21889 |       0.0083 |     0.22719 |      Not set |               Not set |       Not set
 70__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.3 |  dev-other |   5.5 |   0.6 |   0.6 |   4.3 |   0.21263 |      0.01514 |     0.22777 |      Not set |               Not set |       Not set
 71__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.3 | test-clean |   2.7 |   0.2 |   0.3 |   2.1 |   0.21984 |      0.00904 |     0.22889 |      Not set |               Not set |       Not set
 72__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.3 | test-other |   5.6 |   0.7 |   0.6 |   4.4 |   0.23169 |      0.01865 |     0.25034 |      Not set |               Not set |       Not set
 73__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.4 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.9 |     0.213 |      0.00938 |     0.22239 |      Not set |               Not set |       Not set
 74__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.4 |  dev-other |   5.5 |   0.5 |   0.6 |   4.4 |    0.2353 |      0.01922 |     0.25452 |      Not set |               Not set |       Not set
 75__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.4 | test-clean |   2.7 |   0.2 |   0.4 |   2.1 |   0.21196 |      0.01003 |     0.22199 |      Not set |               Not set |       Not set
 76__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.4 | test-other |   5.6 |   0.6 |   0.6 |   4.4 |   0.24231 |      0.02113 |     0.26344 |      Not set |               Not set |       Not set
 77__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.5 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.9 |   0.22356 |      0.01109 |     0.23464 |      Not set |               Not set |       Not set
 78__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.5 |  dev-other |   5.5 |   0.5 |   0.6 |   4.4 |   0.22382 |      0.02022 |     0.24404 |      Not set |               Not set |       Not set
 79__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.5 | test-clean |   2.7 |   0.2 |   0.4 |   2.1 |    0.2205 |      0.01187 |     0.23237 |      Not set |               Not set |       Not set
 80__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.0_p0.5 | test-other |   5.6 |   0.5 |   0.7 |   4.4 |   0.24261 |      0.02375 |     0.26636 |      Not set |               Not set |       Not set
